"","var","inac"
"1","site",0.00755821219852519
"2","P",0.00113183163276845
"3","TA",0.030668608258875
"4","VPD",0.00833000650302091
"5","SW",0.0201946651891635
"6","TA_1",0.0204001150614081
"7","VPD_1",0.00444960418719271
"8","SW_1",0.00967728904493033
"9","P_1",0.000109725661949779
"10","TA_7",0.0317038584496148
"11","VPD_7",0.0104116508970421
"12","SW_7",0.0301262663151754
"13","P_7",0.00777080566855287
"14","TA_sd_7",0.0055962945033502
"15","VPD_sd_7",0.00925895995874678
"16","SW_sd_7",0.00794568094228533
"17","P_sd_7",0.0084854511907831
"18","TA_30",0.0344352844979949
"19","VPD_30",0.0184673432451885
"20","SW_30",0.0510924400649233
"21","P_30",0.033950377080472
"22","TA_sd_30",0.0098004446707125
"23","VPD_sd_30",0.0187985204384171
"24","SW_sd_30",0.046975727534427
"25","P_sd_30",0.0329982783679285
"26","TA_365",0.0280051892613908
"27","VPD_365",0.0255740800638161
"28","SW_365",0.0269225055813707
"29","P_365",0.0348484701937744
"30","TA_sd_365",0.0367066628491375
"31","VPD_sd_365",0.0256077978453527
"32","SW_sd_365",0.0215102301569157
"33","P_sd_365",0.0271833897724128
