"","var","vimp"
"1","site",0.0114541954133202
"2","P",0.00174119683956548
"3","TA",0.0502205989612731
"4","VPD",0.0198276714210534
"5","SW",0.117622308546264
"6","TA_1",0.0304511438479255
"7","VPD_1",0.00835650385532997
"8","SW_1",0.0209120642122386
"9","P_1",0.000551503704975044
"10","TA_7",0.0442277866965576
"11","VPD_7",0.0196851418401185
"12","SW_7",0.0515617639936561
"13","P_7",0.0217347573631412
"14","TA_sd_7",0.00989896226514107
"15","VPD_sd_7",0.0109997797199423
"16","SW_sd_7",0.0163613374130137
"17","P_sd_7",0.0206124053493766
"18","TA_30",0.0576918134476971
"19","VPD_30",0.0372801539869612
"20","SW_30",0.106056790412879
"21","P_30",0.103266240064509
"22","TA_sd_30",0.0285303706861576
"23","VPD_sd_30",0.0269138187938118
"24","SW_sd_30",0.0754826440840956
"25","P_sd_30",0.0923449337373997
"26","TA_365",0.0477200351738581
"27","VPD_365",0.0380103215328268
"28","SW_365",0.0460604141635857
"29","P_365",0.0518053965039611
"30","TA_sd_365",0.0348752182410444
"31","VPD_sd_365",0.0431202168800475
"32","SW_sd_365",0.0641908703443123
"33","P_sd_365",0.0446248985635416
