"","var","vimp"
"1","site",0.0110287312934486
"2","P",0.00133484275433621
"3","TA",0.0544714472753173
"4","VPD",0.0198414225264792
"5","SW",0.104016951337583
"6","TA_1",0.0291515677127937
"7","VPD_1",0.0088892962691475
"8","SW_1",0.0203963302568506
"9","P_1",0.000471839144332252
"10","TA_7",0.0360438664466698
"11","VPD_7",0.0192910632201272
"12","SW_7",0.0431717256666053
"13","P_7",0.0200652528663831
"14","TA_sd_7",0.0101839213795223
"15","VPD_sd_7",0.0110067073455649
"16","SW_sd_7",0.0142140644514826
"17","P_sd_7",0.021256939959476
"18","TA_30",0.0492034146978563
"19","VPD_30",0.035931831581349
"20","SW_30",0.0922552056047911
"21","P_30",0.100017210889332
"22","TA_sd_30",0.0300509587149531
"23","VPD_sd_30",0.026489303316995
"24","SW_sd_30",0.0605342571024906
"25","P_sd_30",0.0907934857593866
"26","TA_365",0.0482618909258326
"27","VPD_365",0.0367301996921292
"28","SW_365",0.0445544465685146
"29","P_365",0.0517751893947417
"30","TA_sd_365",0.0352332894082584
"31","VPD_sd_365",0.0430580150661194
"32","SW_sd_365",0.0647173708559467
"33","P_sd_365",0.0445381679983398
